solve_id,solve_type,method,warm_start,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,min_order,min_proportion,proportion_used,variables,constraints,cpu_time
0,once,dual,cold,0,80,0.5,0.1,fixed,1000,328640,328640,2,1,1,3160,328641,51.091777598
0,iterative,dual,warm,0,80,0.5,0.1,fixed,1000,100,100,2,1,1,3160,101,0.007129359999993312
0,iterative,dual,warm,1,80,0.5,0.1,fixed,1000,1000,1000,2,1,1,3160,1101,0.03018341399999258
0,iterative,dual,warm,2,80,0.5,0.1,fixed,1000,1000,1000,2,1,1,3160,2101,0.06000938399999711
0,iterative,dual,warm,3,80,0.5,0.1,fixed,1000,1000,1000,2,1,1,3160,3101,0.6685012069999914
0,iterative,dual,warm,4,80,0.5,0.1,fixed,1000,1000,1000,2,1,1,3160,4101,6.315985916999992
0,iterative,dual,warm,5,80,0.5,0.1,fixed,1000,1000,1000,2,1,1,3160,5101,2.5283786189999944
0,iterative,dual,warm,6,80,0.5,0.1,fixed,1000,1000,1000,2,1,1,3160,6101,0.3905694970000013
0,iterative,dual,warm,7,80,0.5,0.1,fixed,1000,1000,308,2,1,1,3160,6409,0.017127246999990575
1,once,dual,cold,0,80,0.5,0.1,fixed,1000,328640,328640,1,1,1,3160,328641,62.135350383
1,iterative,dual,warm,0,80,0.5,0.1,fixed,1000,100,100,1,0.1,1,3160,101,0.007085738000000674
1,iterative,dual,warm,1,80,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,3160,1101,0.0317677070000002
1,iterative,dual,warm,2,80,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,3160,2101,0.060495158999998466
1,iterative,dual,warm,3,80,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,3160,3101,0.36657052099999987
1,iterative,dual,warm,4,80,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,3160,4101,6.114048986
1,iterative,dual,warm,5,80,0.5,0.1,fixed,1000,1000,1000,1,0.1,0.1,3160,5101,4.489996686000012
1,iterative,dual,warm,6,80,0.5,0.1,fixed,1000,1000,1000,1,0.1,1,3160,6101,0.02767519999997603
2,once,dual,cold,0,80,0.5,0.1,fixed,1000,328640,328640,0,1,1,3160,328641,56.37223678299998
2,iterative,dual,warm,0,80,0.5,0.1,fixed,1000,100,100,0,0.01,1,3160,101,0.00734914800000297
2,iterative,dual,warm,1,80,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.1,3160,1101,0.03307249499999898
2,iterative,dual,warm,2,80,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.1,3160,2101,0.05378162700003486
2,iterative,dual,warm,3,80,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.1,3160,3101,0.4705181859999925
2,iterative,dual,warm,4,80,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.1,3160,4101,5.683312715999989
2,iterative,dual,warm,5,80,0.5,0.1,fixed,1000,1000,1000,0,0.01,0.1,3160,5101,0.84335147500002
2,iterative,dual,warm,6,80,0.5,0.1,fixed,1000,1000,304,0,0.01,1,3160,5405,0.016770563000022776
3,once,dual,cold,0,80,0.5,0.1,fixed,3000,328640,328640,2,1,1,3160,328641,65.97300709599995
3,iterative,dual,warm,0,80,0.5,0.1,fixed,3000,100,100,2,1,1,3160,101,0.007660520000001725
3,iterative,dual,warm,1,80,0.5,0.1,fixed,3000,3000,3000,2,1,1,3160,3101,0.11586845699997639
3,iterative,dual,warm,2,80,0.5,0.1,fixed,3000,3000,3000,2,1,1,3160,6101,17.09638228099999
3,iterative,dual,warm,3,80,0.5,0.1,fixed,3000,3000,3000,2,1,1,3160,9101,1.7579305049999903
3,iterative,dual,warm,4,80,0.5,0.1,fixed,3000,3000,154,2,1,1,3160,9255,0.032761014000016075
4,once,dual,cold,0,80,0.5,0.1,fixed,3000,328640,328640,1,1,1,3160,328641,59.65180060699993
4,iterative,dual,warm,0,80,0.5,0.1,fixed,3000,100,100,1,0.1,1,3160,101,0.00744953700007045
4,iterative,dual,warm,1,80,0.5,0.1,fixed,3000,3000,3000,1,0.1,0.1,3160,3101,0.16762861600000178
4,iterative,dual,warm,2,80,0.5,0.1,fixed,3000,3000,3000,1,0.1,0.1,3160,6101,7.448597631000098
4,iterative,dual,warm,3,80,0.5,0.1,fixed,3000,3000,3000,1,0.1,1,3160,9101,0.3862435160000359
5,once,dual,cold,0,80,0.5,0.1,fixed,3000,328640,328640,0,1,1,3160,328641,58.95543421499997
5,iterative,dual,warm,0,80,0.5,0.1,fixed,3000,100,100,0,0.01,1,3160,101,0.007604324999988421
5,iterative,dual,warm,1,80,0.5,0.1,fixed,3000,3000,3000,0,0.01,0.1,3160,3101,0.13386586600006467
5,iterative,dual,warm,2,80,0.5,0.1,fixed,3000,3000,3000,0,0.01,0.1,3160,6101,4.345874821000052
5,iterative,dual,warm,3,80,0.5,0.1,fixed,3000,3000,3000,0,0.01,1,3160,9101,0.1636875549999104
6,once,dual,cold,0,80,0.5,0.1,fixed,10000,328640,328640,1,1,1,3160,328641,62.15310796699998
6,iterative,dual,warm,0,80,0.5,0.1,fixed,10000,100,100,1,1,1,3160,101,0.0073820159999513635
6,iterative,dual,warm,1,80,0.5,0.1,fixed,10000,10000,10000,1,1,1,3160,10101,0.5375718779999943
6,iterative,dual,warm,2,80,0.5,0.1,fixed,10000,10000,10000,1,1,1,3160,20101,6.320671264999987
6,iterative,dual,warm,3,80,0.5,0.1,fixed,10000,10000,800,1,1,1,3160,20901,0.04364657199994326
7,once,dual,cold,0,80,0.5,0.1,fixed,10000,328640,328640,0,1,1,3160,328641,56.832949633
7,iterative,dual,warm,0,80,0.5,0.1,fixed,10000,100,100,0,0.1,1,3160,101,0.007098320999944008
7,iterative,dual,warm,1,80,0.5,0.1,fixed,10000,10000,10000,0,0.1,1,3160,10101,0.7549878180000178
7,iterative,dual,warm,2,80,0.5,0.1,fixed,10000,10000,10000,0,0.1,1,3160,20101,10.343913046000011
7,iterative,dual,warm,3,80,0.5,0.1,fixed,10000,10000,534,0,0.1,1,3160,20635,0.20552222699996037
8,once,dual,cold,0,80,0.5,0.1,fixed,30000,328640,328640,1,1,1,3160,328641,63.17505698900004
8,iterative,dual,warm,0,80,0.5,0.1,fixed,30000,100,100,1,1,1,3160,101,0.007495977000075982
8,iterative,dual,warm,1,80,0.5,0.1,fixed,30000,30000,30000,1,1,1,3160,30101,20.51047444400001
8,iterative,dual,warm,2,80,0.5,0.1,fixed,30000,30000,27370,1,1,1,3160,57471,25.949759357999937
9,once,dual,cold,0,80,0.5,0.1,fixed,30000,328640,328640,0,1,1,3160,328641,53.381337421000126
9,iterative,dual,warm,0,80,0.5,0.1,fixed,30000,100,100,0,0.1,1,3160,101,0.00740917600001012
9,iterative,dual,warm,1,80,0.5,0.1,fixed,30000,30000,30000,0,0.1,1,3160,30101,13.472966414999973
9,iterative,dual,warm,2,80,0.5,0.1,fixed,30000,30000,27713,0,0.1,1,3160,57814,83.20213654399981
9,iterative,dual,warm,3,80,0.5,0.1,fixed,30000,30000,538,0,0.1,1,3160,58352,0.1226067120001062
10,once,dual,cold,0,80,0.5,0.1,fixed,100000,328640,328640,0,1,1,3160,328641,60.87828681299993
10,iterative,dual,warm,0,80,0.5,0.1,fixed,100000,100,100,0,1,1,3160,101,0.007556222999937745
10,iterative,dual,warm,1,80,0.5,0.1,fixed,100000,100000,38270,0,1,1,3160,38371,65.93781647799983
10,iterative,dual,warm,2,80,0.5,0.1,fixed,100000,100000,24737,0,1,1,3160,63108,11.200210611999864
11,once,dual,cold,0,80,0.5,0.1,fixed,300000,328640,328640,0,1,1,3160,328641,70.72970422200001
11,iterative,dual,warm,0,80,0.5,0.1,fixed,300000,100,100,0,1,1,3160,101,0.007364255000084086
11,iterative,dual,warm,1,80,0.5,0.1,fixed,300000,300000,33906,0,1,1,3160,34007,27.728075208000064
11,iterative,dual,warm,2,80,0.5,0.1,fixed,300000,300000,28734,0,1,1,3160,62741,39.05089421799994
12,once,dual,cold,0,80,0.5,0.2,fixed,1000,328640,328640,2,1,1,3160,328641,295.515183408
12,iterative,dual,warm,0,80,0.5,0.2,fixed,1000,100,100,2,1,1,3160,101,0.007366837000063242
12,iterative,dual,warm,1,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,1101,0.03258398900015891
12,iterative,dual,warm,2,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,2101,0.12251252900000509
12,iterative,dual,warm,3,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,3101,3.028361442000005
12,iterative,dual,warm,4,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,4101,11.194214226999975
12,iterative,dual,warm,5,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,5101,23.624718153000003
12,iterative,dual,warm,6,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,6101,36.95939492000002
12,iterative,dual,warm,7,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,7101,36.06108115400002
12,iterative,dual,warm,8,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,8101,32.31776367800012
12,iterative,dual,warm,9,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,9101,22.50661467300006
12,iterative,dual,warm,10,80,0.5,0.2,fixed,1000,1000,1000,2,1,1,3160,10101,7.821043706000182
12,iterative,dual,warm,11,80,0.5,0.2,fixed,1000,1000,131,2,1,1,3160,10232,1.850862610999684
12,iterative,dual,warm,12,80,0.5,0.2,fixed,1000,1000,3,2,1,1,3160,10235,0.37380141499988895
13,once,dual,cold,0,80,0.5,0.2,fixed,1000,328640,328640,1,1,1,3160,328641,144.68548151799996
13,iterative,dual,warm,0,80,0.5,0.2,fixed,1000,100,100,1,0.1,1,3160,101,0.0075083960000483785
13,iterative,dual,warm,1,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,1101,0.03141078999988167
13,iterative,dual,warm,2,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,2101,0.07374536399993303
13,iterative,dual,warm,3,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,3101,2.18453148899971
13,iterative,dual,warm,4,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,4101,12.272283517000233
13,iterative,dual,warm,5,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,5101,23.9854848519999
13,iterative,dual,warm,6,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,6101,35.2230854190002
13,iterative,dual,warm,7,80,0.5,0.2,fixed,1000,1000,1000,1,0.1,0.1,3160,7101,1.7299254599997766
14,once,dual,cold,0,80,0.5,0.2,fixed,1000,328640,328640,0,1,1,3160,328641,172.49960796699997
14,iterative,dual,warm,0,80,0.5,0.2,fixed,1000,100,100,0,0.01,1,3160,101,0.0075070299999424606
