solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,search_proportion_used,current_threshold,variables,constraints,cpu_time
17,once,auto,cold,1,,0,70,0.5,0.1,fixed,100,218960,218960,1,,2415,218961,140.88029006800025
17,iterative,auto,warm,1,,0,70,0.5,0.1,fixed,100,100,100,1,,2415,101,0.006139663999420009
17,iterative,auto,warm,1,,1,70,0.5,0.1,fixed,100,100,100,1,,2415,201,0.004330640999796742
17,iterative,auto,warm,1,,2,70,0.5,0.1,fixed,100,100,100,1,,2415,301,0.007028659000752668
17,iterative,auto,warm,1,,3,70,0.5,0.1,fixed,100,100,100,1,,2415,401,0.0072135079999497975
17,iterative,auto,warm,1,,4,70,0.5,0.1,fixed,100,100,100,1,,2415,501,0.007960605999869586
17,iterative,auto,warm,1,,5,70,0.5,0.1,fixed,100,100,100,1,,2415,601,0.008882471999640984
17,iterative,auto,warm,1,,6,70,0.5,0.1,fixed,100,100,100,1,,2415,701,0.009381960999235162
17,iterative,auto,warm,1,,7,70,0.5,0.1,fixed,100,100,100,1,,2415,801,0.010150311999495898
17,iterative,auto,warm,1,,8,70,0.5,0.1,fixed,100,100,100,1,,2415,901,0.011565212999812502
17,iterative,auto,warm,1,,9,70,0.5,0.1,fixed,100,100,100,1,,2415,1001,0.012464636000004248
17,iterative,auto,warm,1,,10,70,0.5,0.1,fixed,100,100,100,1,,2415,1101,0.015529139999671315
17,iterative,auto,warm,1,,11,70,0.5,0.1,fixed,100,100,100,1,,2415,1201,0.009571020999828761
17,iterative,auto,warm,1,,12,70,0.5,0.1,fixed,100,100,100,1,,2415,1301,0.01582902500013006
17,iterative,auto,warm,1,,13,70,0.5,0.1,fixed,100,100,100,1,,2415,1401,0.03321539299940923
17,iterative,auto,warm,1,,14,70,0.5,0.1,fixed,100,100,100,1,,2415,1501,0.055571508999491925
17,iterative,auto,warm,1,,15,70,0.5,0.1,fixed,100,100,100,1,,2415,1601,0.061788412000169046
17,iterative,auto,warm,1,,16,70,0.5,0.1,fixed,100,100,100,1,,2415,1701,0.14589554899976065
17,iterative,auto,warm,1,,17,70,0.5,0.1,fixed,100,100,100,1,,2415,1801,0.2609051819999877
17,iterative,auto,warm,1,,18,70,0.5,0.1,fixed,100,100,100,1,,2415,1901,0.3022127760004878
17,iterative,auto,warm,1,,19,70,0.5,0.1,fixed,100,100,100,1,,2415,2001,0.5357849199999691
17,iterative,auto,warm,1,,20,70,0.5,0.1,fixed,100,100,100,1,,2415,2101,0.6158287609996478
17,iterative,auto,warm,1,,21,70,0.5,0.1,fixed,100,100,100,1,,2415,2201,0.6653423039997506
17,iterative,auto,warm,1,,22,70,0.5,0.1,fixed,100,100,100,1,,2415,2301,0.8949194209999405
17,iterative,auto,warm,1,,23,70,0.5,0.1,fixed,100,100,100,1,,2415,2401,1.1201850480001667
17,iterative,auto,warm,1,,24,70,0.5,0.1,fixed,100,100,100,1,,2415,2501,1.2494039039993368
17,iterative,auto,warm,1,,25,70,0.5,0.1,fixed,100,100,100,1,,2415,2601,1.4550133270004153
17,iterative,auto,warm,1,,26,70,0.5,0.1,fixed,100,100,100,1,,2415,2701,1.71024533399941
17,iterative,auto,warm,1,,27,70,0.5,0.1,fixed,100,100,100,1,,2415,2801,2.0442523149995395
17,iterative,auto,warm,1,,28,70,0.5,0.1,fixed,100,100,100,1,,2415,2901,1.9481437010008449
17,iterative,auto,warm,1,,29,70,0.5,0.1,fixed,100,100,100,1,,2415,3001,1.5947223950006446
17,iterative,auto,warm,1,,30,70,0.5,0.1,fixed,100,100,100,1,,2415,3101,0.018937896999887016
