solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
6,once,auto,cold,1,,False,0,0,100,0.5,0.2,fixed,1000,646800,646800,0,1,,4950,646801,362.671875,0,0,0
6,iterative,auto,warm,1,,False,0,0,100,0.5,0.2,fixed,1000,100,100,0,1,,4950,101,0.0,0,0,0
6,iterative,auto,warm,1,,False,0,1,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,1101,0.03125,0,0,0
6,iterative,auto,warm,1,,False,0,2,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,2101,0.015625,0,0,0
6,iterative,auto,warm,1,,False,0,3,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,3101,0.0625,0,0,0
6,iterative,auto,warm,1,,False,0,4,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,4101,1.46875,0,0,0
6,iterative,auto,warm,1,,False,0,5,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,5101,6.734375,0,0,0
6,iterative,auto,warm,1,,False,0,6,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,6101,13.375,0,0,0
6,iterative,auto,warm,1,,False,0,7,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,7101,24.109375,0,0,0
6,iterative,auto,warm,1,,False,0,8,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,8101,36.21875,0,0,0
6,iterative,auto,warm,1,,False,0,9,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,9101,48.328125,0,0,0
6,iterative,auto,warm,1,,False,0,10,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,10101,50.421875,0,0,0
6,iterative,auto,warm,1,,False,0,11,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,11101,48.828125,0,0,0
6,iterative,auto,warm,1,,False,0,12,100,0.5,0.2,fixed,1000,1000,1000,0,1,,4950,12101,0.421875,0,0,0
6,iterative,auto,warm,1,,True,0,0,100,0.5,0.2,fixed,1000,100,100,0,1,,4950,101,0.0,0,0,0
6,iterative,auto,warm,1,,True,0,1,100,0.5,0.2,fixed,1000,1000,1000,84,1,,4950,1017,0.015625,100,84,16
6,iterative,auto,warm,1,,True,0,2,100,0.5,0.2,fixed,1000,1000,1000,119,1,,4950,1898,0.015625,1016,119,897
6,iterative,auto,warm,1,,True,0,3,100,0.5,0.2,fixed,1000,1000,1000,196,1,,4950,2702,0.046875,891,196,695
6,iterative,auto,warm,1,,True,0,4,100,0.5,0.2,fixed,1000,1000,1000,397,1,,4950,3305,0.203125,1279,397,882
6,iterative,auto,warm,1,,True,0,5,100,0.5,0.2,fixed,1000,1000,1000,718,1,,4950,3587,0.390625,1289,718,571
6,iterative,auto,warm,1,,True,0,6,100,0.5,0.2,fixed,1000,1000,1000,642,1,,4950,3945,1.75,1254,642,612
6,iterative,auto,warm,1,,True,0,7,100,0.5,0.2,fixed,1000,1000,1000,899,1,,4950,4046,3.0625,1242,899,343
6,iterative,auto,warm,1,,True,0,8,100,0.5,0.2,fixed,1000,1000,1000,710,1,,4950,4336,4.078125,1007,710,297
6,iterative,auto,warm,1,,True,0,9,100,0.5,0.2,fixed,1000,1000,1000,862,1,,4950,4474,5.28125,1048,862,186
6,iterative,auto,warm,1,,True,0,10,100,0.5,0.2,fixed,1000,1000,1000,827,1,,4950,4647,5.546875,977,827,150
6,iterative,auto,warm,1,,True,0,11,100,0.5,0.2,fixed,1000,1000,1000,817,1,,4950,4830,7.609375,929,817,112
6,iterative,auto,warm,1,,True,0,12,100,0.5,0.2,fixed,1000,1000,1000,843,1,,4950,4987,7.578125,938,843,95
6,iterative,auto,warm,1,,True,0,13,100,0.5,0.2,fixed,1000,1000,1000,884,1,,4950,5103,8.25,964,884,80
6,iterative,auto,warm,1,,True,0,14,100,0.5,0.2,fixed,1000,1000,1000,889,1,,4950,5214,9.109375,944,889,55
6,iterative,auto,warm,1,,True,0,15,100,0.5,0.2,fixed,1000,1000,1000,880,1,,4950,5334,10.78125,932,880,52
6,iterative,auto,warm,1,,True,0,16,100,0.5,0.2,fixed,1000,1000,1000,909,1,,4950,5425,10.28125,946,909,37
6,iterative,auto,warm,1,,True,0,17,100,0.5,0.2,fixed,1000,1000,1000,962,1,,4950,5463,10.046875,1005,962,43
6,iterative,auto,warm,1,,True,0,18,100,0.5,0.2,fixed,1000,1000,1000,960,1,,4950,5503,10.375,998,960,38
6,iterative,auto,warm,1,,True,0,19,100,0.5,0.2,fixed,1000,1000,1000,964,1,,4950,5539,9.421875,1002,964,38
6,iterative,auto,warm,1,,True,0,20,100,0.5,0.2,fixed,1000,1000,1000,943,1,,4950,5596,9.703125,984,943,41
6,iterative,auto,warm,1,,True,0,21,100,0.5,0.2,fixed,1000,1000,1000,1008,1,,4950,5588,7.921875,1042,1008,34
6,iterative,auto,warm,1,,True,0,22,100,0.5,0.2,fixed,1000,1000,1000,1006,1,,4950,5582,4.984375,1039,1006,33
6,iterative,auto,warm,1,,True,0,23,100,0.5,0.2,fixed,1000,1000,1000,990,1,,4950,5592,5.0,1018,990,28
6,iterative,auto,warm,1,,True,0,24,100,0.5,0.2,fixed,1000,1000,1000,1000,1,,4950,5592,0.1875,1026,1000,26
