solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,zero_slack_likelihood,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,dual_0_constraints,dual_0_with_slack,dual_0_no_slack
34,iterative,auto,warm,1,,False,0,0,110,0.5,0.2,fixed,1000,100,100,0,1,,5995,101,0.012223781988723204,0,0,0
34,iterative,auto,warm,1,,False,0,1,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,1101,0.04581602697726339,0,0,0
34,iterative,auto,warm,1,,False,0,2,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,2101,0.05313006500364281,0,0,0
34,iterative,auto,warm,1,,False,0,3,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,3101,0.04393633900326677,0,0,0
34,iterative,auto,warm,1,,False,0,4,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,4101,0.7038536489999387,0,0,0
34,iterative,auto,warm,1,,False,0,5,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,5101,8.73735695600044,0,0,0
34,iterative,auto,warm,1,,False,0,6,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,6101,24.35073107900098,0,0,0
34,iterative,auto,warm,1,,False,0,7,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,7101,40.75352361399564,0,0,0
34,iterative,auto,warm,1,,False,0,8,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,8101,70.27893276000395,0,0,0
34,iterative,auto,warm,1,,False,0,9,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,9101,114.7321035679779,0,0,0
34,iterative,auto,warm,1,,False,0,10,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,10101,157.20386191201396,0,0,0
34,iterative,auto,warm,1,,False,0,11,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,11101,225.5182440530043,0,0,0
34,iterative,auto,warm,1,,False,0,12,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,12101,217.73898895599996,0,0,0
34,iterative,auto,warm,1,,False,0,13,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,13101,79.87722837601905,0,0,0
34,iterative,auto,warm,1,,False,0,14,110,0.5,0.2,fixed,1000,1000,1000,0,1,,5995,14101,6.352852843992878,0,0,0
34,iterative,auto,warm,1,,True,0,0,110,0.5,0.2,fixed,1000,100,100,0,1,,5995,101,0.012237586983246729,0,0,0
34,iterative,auto,warm,1,,True,0,1,110,0.5,0.2,fixed,1000,1000,1000,76,1,,5995,1025,0.05265878501813859,100,76,24
34,iterative,auto,warm,1,,True,0,2,110,0.5,0.2,fixed,1000,1000,1000,96,1,,5995,1929,0.0580193999921903,1024,96,928
34,iterative,auto,warm,1,,True,0,3,110,0.5,0.2,fixed,1000,1000,1000,211,1,,5995,2718,0.05066417099442333,814,211,603
34,iterative,auto,warm,1,,True,0,4,110,0.5,0.2,fixed,1000,1000,1000,273,1,,5995,3445,0.1507066230115015,1194,273,921
34,iterative,auto,warm,1,,True,0,5,110,0.5,0.2,fixed,1000,1000,1000,531,1,,5995,3914,0.5788302209984977,1497,531,966
34,iterative,auto,warm,1,,True,0,6,110,0.5,0.2,fixed,1000,1000,1000,630,1,,5995,4284,1.6779056969971862,1467,630,837
34,iterative,auto,warm,1,,True,0,7,110,0.5,0.2,fixed,1000,1000,1000,902,1,,5995,4382,3.640281263011275,1389,902,487
34,iterative,auto,warm,1,,True,0,8,110,0.5,0.2,fixed,1000,1000,1000,735,1,,5995,4647,5.839812380989315,1180,735,445
34,iterative,auto,warm,1,,True,0,9,110,0.5,0.2,fixed,1000,1000,1000,806,1,,5995,4841,10.01338612701511,1186,806,380
34,iterative,auto,warm,1,,True,0,10,110,0.5,0.2,fixed,1000,1000,1000,814,1,,5995,5027,13.204378162015928,1083,814,269
34,iterative,auto,warm,1,,True,0,11,110,0.5,0.2,fixed,1000,1000,1000,830,1,,5995,5197,16.07926469098311,1047,830,217
34,iterative,auto,warm,1,,True,0,12,110,0.5,0.2,fixed,1000,1000,1000,812,1,,5995,5385,16.512472108006477,1001,812,189
34,iterative,auto,warm,1,,True,0,13,110,0.5,0.2,fixed,1000,1000,1000,848,1,,5995,5537,21.15734268000233,972,848,124
34,iterative,auto,warm,1,,True,0,14,110,0.5,0.2,fixed,1000,1000,1000,785,1,,5995,5752,25.074382533988683,908,785,123
34,iterative,auto,warm,1,,True,0,15,110,0.5,0.2,fixed,1000,1000,1000,881,1,,5995,5871,25.755587146995822,981,881,100
34,iterative,auto,warm,1,,True,0,16,110,0.5,0.2,fixed,1000,1000,1000,880,1,,5995,5991,29.12236938701244,963,880,83
34,iterative,auto,warm,1,,True,0,17,110,0.5,0.2,fixed,1000,1000,1000,886,1,,5995,6105,34.43422099700547,955,886,69
34,iterative,auto,warm,1,,True,0,18,110,0.5,0.2,fixed,1000,1000,1000,935,1,,5995,6170,33.49553166699479,989,935,54
34,iterative,auto,warm,1,,True,0,19,110,0.5,0.2,fixed,1000,1000,1000,908,1,,5995,6262,35.18690261701704,965,908,57
34,iterative,auto,warm,1,,True,0,20,110,0.5,0.2,fixed,1000,1000,1000,959,1,,5995,6303,31.647535544005223,1016,959,57
34,iterative,auto,warm,1,,True,0,21,110,0.5,0.2,fixed,1000,1000,1000,974,1,,5995,6329,28.515534365025815,1024,974,50
34,iterative,auto,warm,1,,True,0,22,110,0.5,0.2,fixed,1000,1000,1000,941,1,,5995,6388,26.043218106991844,990,941,49
34,iterative,auto,warm,1,,True,0,23,110,0.5,0.2,fixed,1000,1000,1000,992,1,,5995,6396,27.64841901898035,1033,992,41
34,iterative,auto,warm,1,,True,0,24,110,0.5,0.2,fixed,1000,1000,1000,1014,1,,5995,6382,12.321351535996655,1075,1014,61
34,iterative,auto,warm,1,,True,0,25,110,0.5,0.2,fixed,1000,1000,1000,1018,1,,5995,6364,8.660615097003756,1063,1018,45
34,iterative,auto,warm,1,,True,0,26,110,0.5,0.2,fixed,1000,1000,1000,1027,1,,5995,6337,0.4887936649902258,1070,1027,43
34,iterative,auto,warm,1,,True,0,27,110,0.5,0.2,fixed,1000,1000,214,2,1,,5995,6549,0.05935690400656313,1036,2,1034
